Id,Label,timeset,twitter_type,lat,lng,place_country,place_type,place_fullname,place_name,created_at,lang,possibly_sensitive,quoted_status_permalink,description,email,profile_image,friends_count,followers_count,real_name,location,emoji_alias,emoji_html_decimal,emoji_utf8,modularity_class
@taenoush,@taenoush,<[2019-12-16T11:43:32.006Z]>,User,,,,,,,Wed Dec 05 11:36:25 CET 2018,,,, “Because everything BEGIN with a LIE.” 💜 ARMY/ Multi💜Mariée à ma femme @parkjsaturnsah,,http://pbs.twimg.com/profile_images/1206517599158329344/fu1padVw_bigger.jpg,198,137,L'insolente ♡,"Tergnier, France",,,,1
1206540339290558466,"RT @PeterAskin1: DJ's hopes are growing dim
chance of rescue getting slim!
Needs an angel & needs one now!
If that is you take a bow!
Not m…",<[2019-12-16T11:43:34.899Z]>,Tweet,,,,,,,Mon Dec 16 12:43:27 CET 2019,en,false,https://twitter.com/PeterAskin1/status/1205713972814471170,,,,,,,,,,,3
@panagrigopoulos,@panagrigopoulos,"<[2019-12-16T11:43:34.899Z, 2019-12-16T11:43:42.001Z]>",User,,,,,,,Mon Aug 13 22:04:19 CEST 2012,,,,"Male,psicologist.Love All Animals in the World.",,http://pbs.twimg.com/profile_images/837026459877261312/EoHp59mS_bigger.jpg,128,265,Παναγιωτης Γερασιμου Ρηγοπουλος,Patra-Greece.,,,,3
1206332887890456582,"DJ's hopes are growing dim
chance of rescue getting slim!
Needs an angel & needs one now!
If that is you take a bow!
Not much time left to act!
you'll be blessed & that's a fact!

Adopt/pledge/save! 🙏 https://t.co/hGso16l1B5",<[2019-12-16T11:43:34.899Z]>,Tweet,,,,,,,Sun Dec 15 22:59:07 CET 2019,en,false,https://twitter.com/PeterAskin1/status/1205713972814471170,,,,,,,,,,,3
@peteraskin1,@peteraskin1,"<[2019-12-16T11:43:34.899Z, 2019-12-16T11:43:34.900Z, 2019-12-16T11:43:34.901Z, 2019-12-16T11:43:42.003Z, 2019-12-16T11:48:49.298Z, 2019-12-16T12:07:25.696Z]>",User,,,,,,,Thu Jan 10 08:20:38 CET 2013,,,,"Animal rights advocate, animal cross-poster. Rosa in my profile photo joined my other kitties at the RB on 12/12/2016 💞",,http://pbs.twimg.com/profile_images/1205048975071436800/yCwJs33j_bigger.jpg,2801,8129,Peter Askin,,,,,3
https://twitter.com/PeterAskin1/status/1205713972814471170,https://twitter.com/PeterAskin1/status/1205713972814471170,<[2019-12-16T11:43:34.899Z]>,Link,,,,,,,,,,,,,,,,,,,,,3
1205713972814471170,"Senior cat alert for darling tabby grandpa kitty ""DJ"" A0886163 in #TampaBayFL! Needs adoption/rescue posthaste! A victim of divorce! His pal Jasmine adopted & it's DJ's turn! Adopt/pledge for rescue! Save the seniors! VERY URGENT!
https://t.co/6nXwQUwlfC https://t.co/h0uTQJKfm8","<[2019-12-16T11:43:34.900Z, 2019-12-16T11:43:34.901Z, 2019-12-16T11:43:42.003Z, 2019-12-16T11:48:49.298Z, 2019-12-16T12:07:25.696Z]>",Tweet,,,,,,,Sat Dec 14 05:59:46 CET 2019,en,false,,,,,,,,,,,,3
"#tampabayfl","#tampabayfl","<[2019-12-16T11:43:34.900Z, 2019-12-16T11:43:34.901Z, 2019-12-16T11:43:42.001Z, 2019-12-16T11:43:42.003Z, 2019-12-16T11:48:49.298Z, 2019-12-16T12:07:25.696Z]>",Hashtag,,,,,,,,,,,,,,,,,,,,,3
https://www.facebook.com/UrgentCatsOfTampaBay/photos/a.125497570963004/1349694845209931/?type=3&theater,https://www.facebook.com/UrgentCatsOfTampaBay/photos/a.125497570963004/1349694845209931/?type=3&theater,"<[2019-12-16T11:43:34.900Z, 2019-12-16T11:43:34.901Z, 2019-12-16T11:43:42.003Z, 2019-12-16T11:48:49.298Z, 2019-12-16T12:07:25.696Z]>",Link,,,,,,,,,,,,,,,,,,,,,3
http://pbs.twimg.com/media/ELuOdyoUwAAll6L.jpg,http://pbs.twimg.com/media/ELuOdyoUwAAll6L.jpg,"<[2019-12-16T11:43:34.900Z, 2019-12-16T11:43:34.901Z, 2019-12-16T11:43:42.003Z, 2019-12-16T11:48:49.298Z, 2019-12-16T12:07:25.696Z]>",Media,,,,,,,,,,,,,,,,,,,,,3
1206540350707372032,"RT @flocorf: Queen, leave him https://t.co/GxTQDxZ9Ba",<[2019-12-16T11:43:37.641Z]>,Tweet,,,,,,,Mon Dec 16 12:43:30 CET 2019,en,false,https://twitter.com/dailymirror/status/1206168272162500609,,,,,,,,,,,2
@tayyabalishan1,@tayyabalishan1,<[2019-12-16T11:43:37.641Z]>,User,,,,,,,Mon Feb 27 21:01:56 CET 2012,,,,23. #LFC,,http://pbs.twimg.com/profile_images/935988744544505857/3MxIaac2_bigger.jpg,365,575,Tayyab,,,,,2
